,disputed_id,c1_author,c2_author,c1_delta,c2_delta,margin,winning_author,authorship
1,26,obstacles_to_peace,training_for_ballet,0.462203574,0.114385919,0.34781765,training_for_ballet,mcclure_my_autobiography_book
2,26,antonia,obstacles_to_peace,0.072522867,0.359898582,0.28737572,antonia,mcclure_my_autobiography_book
3,26,lucy_gayheart,obstacles_to_peace,0.359164667,0.60366973,0.24450506,lucy_gayheart,mcclure_my_autobiography_book
4,26,obstacles_to_peace,prof_house,0.39588551,0.153436441,0.24244907,prof_house,mcclure_my_autobiography_book
5,26,obscure_destinies,obstacles_to_peace,0.319824814,0.556691884,0.23686707,obscure_destinies,mcclure_my_autobiography_book
6,26,obstacles_to_peace,shadows_rock,0.434807737,0.213798138,0.22100960,shadows_rock,mcclure_my_autobiography_book
7,26,obstacles_to_peace,reviews_and_essays,0.690218677,0.475586751,0.21463193,reviews_and_essays,mcclure_my_autobiography_book
8,26,o_pioneers,obstacles_to_peace,0.225931171,0.418720315,0.19278914,o_pioneers,mcclure_my_autobiography_book
9,26,obstacles_to_peace,one_of_ours,0.562074182,0.371307912,0.19076627,one_of_ours,mcclure_my_autobiography_book
10,26,obstacles_to_peace,plays_real_life,0.573603438,0.397159777,0.17644366,plays_real_life,mcclure_my_autobiography_book
11,26,not_under_forty,obstacles_to_peace,0.272436558,0.43479118,0.16235462,not_under_forty,mcclure_my_autobiography_book
12,26,obstacles_to_peace,song_lark,0.492728874,0.336157228,0.15657165,song_lark,mcclure_my_autobiography_book
13,26,lost_lady,obstacles_to_peace,0.372295207,0.528521838,0.15622663,lost_lady,mcclure_my_autobiography_book
14,26,death_comes,obstacles_to_peace,0.415005991,0.557631459,0.14262547,death_comes,mcclure_my_autobiography_book
15,26,new_types_acting,obstacles_to_peace,0.345335052,0.487612484,0.14227743,new_types_acting,mcclure_my_autobiography_book
16,26,obstacles_to_peace,youth_medusa,0.442499019,0.306035426,0.13646359,youth_medusa,mcclure_my_autobiography_book
17,26,obstacles_to_peace,sweated_drama,0.426981478,0.292021486,0.13495999,sweated_drama,mcclure_my_autobiography_book
18,26,obstacles_to_peace,stories_reviews_essays,0.495945996,0.370470209,0.12547579,stories_reviews_essays,mcclure_my_autobiography_book
19,26,obstacles_to_peace,sapphira,0.589983013,0.468838427,0.12114459,sapphira,mcclure_my_autobiography_book
20,26,obstacles_to_peace,stories,0.487349761,0.376513722,0.11083604,stories,mcclure_my_autobiography_book
21,26,alexanders_bridge,obstacles_to_peace,0.303860188,0.399902628,0.09604244,alexanders_bridge,mcclure_my_autobiography_book
22,26,obstacles_to_peace,troll_garden,0.500408313,0.429603262,0.07080505,troll_garden,mcclure_my_autobiography_book
23,26,cather_mcclures_magazine_pieces,obstacles_to_peace,0.456334937,0.509405781,0.05307084,cather_mcclures_magazine_pieces,mcclure_my_autobiography_book
24,26,obstacles_to_peace,three_american_singers,0.690140867,0.671517125,0.01862374,three_american_singers,mcclure_my_autobiography_book
25,27,obstacles_to_peace,training_for_ballet,0.640558766,0.214755402,0.42580336,training_for_ballet,my_autobio_serial_1
26,27,antonia,obstacles_to_peace,0.121130705,0.508931449,0.38780074,antonia,my_autobio_serial_1
27,27,obstacles_to_peace,prof_house,0.589834141,0.271487165,0.31834698,prof_house,my_autobio_serial_1
28,27,obscure_destinies,obstacles_to_peace,0.365466028,0.680261891,0.31479586,obscure_destinies,my_autobio_serial_1
29,27,lucy_gayheart,obstacles_to_peace,0.324397142,0.596952103,0.27255496,lucy_gayheart,my_autobio_serial_1
30,27,obstacles_to_peace,shadows_rock,0.542551652,0.270453429,0.27209822,shadows_rock,my_autobio_serial_1
31,27,o_pioneers,obstacles_to_peace,0.238609828,0.488981657,0.25037183,o_pioneers,my_autobio_serial_1
32,27,lost_lady,obstacles_to_peace,0.35053882,0.599248132,0.24870931,lost_lady,my_autobio_serial_1
33,27,obstacles_to_peace,sapphira,0.75337524,0.522230424,0.23114482,sapphira,my_autobio_serial_1
34,27,obstacles_to_peace,stories,0.602370075,0.371840421,0.23052965,stories,my_autobio_serial_1
35,27,obstacles_to_peace,song_lark,0.522766759,0.293772066,0.22899469,song_lark,my_autobio_serial_1
36,27,obstacles_to_peace,stories_reviews_essays,0.587050548,0.365850128,0.22120042,stories_reviews_essays,my_autobio_serial_1
37,27,obstacles_to_peace,youth_medusa,0.506211953,0.289277282,0.21693467,youth_medusa,my_autobio_serial_1
38,27,obstacles_to_peace,one_of_ours,0.592839061,0.376455049,0.21638401,one_of_ours,my_autobio_serial_1
39,27,not_under_forty,obstacles_to_peace,0.359600367,0.566654793,0.20705443,not_under_forty,my_autobio_serial_1
40,27,new_types_acting,obstacles_to_peace,0.303316997,0.497395147,0.19407815,new_types_acting,my_autobio_serial_1
41,27,obstacles_to_peace,plays_real_life,0.52824928,0.341229866,0.18701941,plays_real_life,my_autobio_serial_1
42,27,alexanders_bridge,obstacles_to_peace,0.332737145,0.496501882,0.16376474,alexanders_bridge,my_autobio_serial_1
43,27,obstacles_to_peace,troll_garden,0.653814593,0.49419341,0.15962118,troll_garden,my_autobio_serial_1
44,27,death_comes,obstacles_to_peace,0.459071225,0.61096218,0.15189096,death_comes,my_autobio_serial_1
45,27,obstacles_to_peace,reviews_and_essays,0.659365917,0.527731636,0.13163428,reviews_and_essays,my_autobio_serial_1
46,27,cather_mcclures_magazine_pieces,obstacles_to_peace,0.505223652,0.605626966,0.10040331,cather_mcclures_magazine_pieces,my_autobio_serial_1
47,27,obstacles_to_peace,sweated_drama,0.4449799,0.372331391,0.07264851,sweated_drama,my_autobio_serial_1
48,27,obstacles_to_peace,three_american_singers,0.643839502,0.623856394,0.01998311,three_american_singers,my_autobio_serial_1
49,28,obstacles_to_peace,training_for_ballet,0.824899592,0.433723868,0.39117572,training_for_ballet,my_autobio_serial_2
50,28,antonia,obstacles_to_peace,0.267227299,0.580485959,0.31325866,antonia,my_autobio_serial_2
51,28,obstacles_to_peace,prof_house,0.656713818,0.391949104,0.26476471,prof_house,my_autobio_serial_2
52,28,o_pioneers,obstacles_to_peace,0.389842773,0.653811935,0.26396916,o_pioneers,my_autobio_serial_2
53,28,lucy_gayheart,obstacles_to_peace,0.551432998,0.805737185,0.25430419,lucy_gayheart,my_autobio_serial_2
54,28,obscure_destinies,obstacles_to_peace,0.520708271,0.75666,0.23595173,obscure_destinies,my_autobio_serial_2
55,28,obstacles_to_peace,one_of_ours,0.802496189,0.580262724,0.22223347,one_of_ours,my_autobio_serial_2
56,28,obstacles_to_peace,song_lark,0.729753361,0.508368275,0.22138509,song_lark,my_autobio_serial_2
57,28,lost_lady,obstacles_to_peace,0.527055353,0.741698853,0.21464350,lost_lady,my_autobio_serial_2
58,28,obstacles_to_peace,youth_medusa,0.708086597,0.496287901,0.21179870,youth_medusa,my_autobio_serial_2
59,28,obstacles_to_peace,shadows_rock,0.640665031,0.4295327,0.21113233,shadows_rock,my_autobio_serial_2
60,28,obstacles_to_peace,stories,0.736437936,0.541744587,0.19469335,stories,my_autobio_serial_2
61,28,not_under_forty,obstacles_to_peace,0.479313548,0.669063781,0.18975023,not_under_forty,my_autobio_serial_2
62,28,obstacles_to_peace,sapphira,0.864638215,0.684998607,0.17963961,sapphira,my_autobio_serial_2
63,28,obstacles_to_peace,reviews_and_essays,0.84795309,0.670177294,0.17777580,reviews_and_essays,my_autobio_serial_2
64,28,obstacles_to_peace,stories_reviews_essays,0.735302937,0.562386907,0.17291603,stories_reviews_essays,my_autobio_serial_2
65,28,death_comes,obstacles_to_peace,0.690326324,0.839205741,0.14887942,death_comes,my_autobio_serial_2
66,28,new_types_acting,obstacles_to_peace,0.435862364,0.575737568,0.13987520,new_types_acting,my_autobio_serial_2
67,28,alexanders_bridge,obstacles_to_peace,0.488726192,0.626606351,0.13788016,alexanders_bridge,my_autobio_serial_2
68,28,obstacles_to_peace,plays_real_life,0.714980221,0.599879877,0.11510034,plays_real_life,my_autobio_serial_2
69,28,obstacles_to_peace,troll_garden,0.684487132,0.593002774,0.09148436,troll_garden,my_autobio_serial_2
70,28,cather_mcclures_magazine_pieces,obstacles_to_peace,0.812101974,0.83534146,0.02323949,cather_mcclures_magazine_pieces,my_autobio_serial_2
71,28,obstacles_to_peace,three_american_singers,0.869310861,0.889916601,0.02060574,obstacles_to_peace,my_autobio_serial_2
72,28,obstacles_to_peace,sweated_drama,0.676208206,0.660529568,0.01567864,sweated_drama,my_autobio_serial_2
73,29,obstacles_to_peace,training_for_ballet,0.715952605,0.275515757,0.44043685,training_for_ballet,my_autobio_serial_3
74,29,antonia,obstacles_to_peace,0.161360142,0.481981832,0.32062169,antonia,my_autobio_serial_3
