id,c1_author,c2_author,McClure,Cather,margin,winning_author,disputed_id
1,obstacles_to_peace,training_for_ballet,0.506551636,0.141315185,0.365236451,training_for_ballet,35
2,obstacles_to_peace,antonia,0.355225468,0.067841993,0.287383476,antonia,35
3,obstacles_to_peace,lucy_gayheart,0.636626529,0.363567934,0.273058595,lucy_gayheart,35
4,obstacles_to_peace,prof_house,0.406343431,0.17352408,0.232819351,prof_house,35
5,obstacles_to_peace,obscure_destinies,0.547219295,0.32615333,0.221065965,obscure_destinies,35
6,obstacles_to_peace,o_pioneers,0.416266453,0.201626078,0.214640375,o_pioneers,35
